latitude,longitude
50.4107853975,-5.06282234553
50.4051809435,-5.0714547069
50.4065563111,-5.07456043407
50.4112591405,-5.07738175619
50.4086868563,-5.06673984025
50.4128887217,-5.07766947397
50.4059186402,-5.06622570846
50.409998132,-5.07519697264
50.4067996135,-5.06525519432
50.4084983236,-5.07402080958
50.4094598505,-5.07037478349
50.4170520029,-5.06669243484
50.4089178836,-5.07438798902
50.4062782497,-5.07278571502
50.4012214283,-5.07650234957
50.410319012,-5.07201617729
50.4136080322,-5.06756893689
50.419630161,-5.06700717372
50.4102043523,-5.07453647534
50.4162447815,-5.06850697328
50.4135453798,-5.07078965985
50.409956037,-5.06734281596
50.4129371933,-5.06432645815
50.4103331222,-5.07331404575
50.4114510948,-5.07448527799
50.4174946769,-5.06483386673
50.4151853275,-5.06814932775
50.4135118762,-5.06876848645
50.4184187888,-5.06750729693
50.415197248,-5.07789843188
50.4117789013,-5.06206589059
50.4185185215,-5.07036309577
50.4120130931,-5.08433390583
50.4049262764,-5.07351311713
50.4077392421,-5.07358249093
50.4087797403,-5.07428377569
50.4102203433,-5.07469061425
50.4205898446,-5.06655364073
50.4095743361,-5.06914642462
50.413606164,-5.06744020722
50.4186254761,-5.07031179611
50.4147910614,-5.06488519118
50.4144461979,-5.0719718257
50.408236498,-5.06944528396
50.4144404216,-5.07143590525
50.4112814215,-5.06562045268
50.4178769318,-5.06893219685
50.4100446277,-5.06233806528
50.4098584428,-5.07160652672
50.4158920504,-5.05488292743
50.4146471482,-5.06725789313
50.4146263752,-5.06665667836
50.4049040858,-5.06380628928
50.4174322165,-5.07323245933
50.4162169357,-5.07744678259
50.4129283883,-5.06825683764
50.4102251487,-5.06441628199
50.4101212716,-5.07829889861
50.4141227139,-5.07685116252
50.4181709597,-5.07227811956
50.4118881309,-5.07651886559
50.4109607516,-5.07308657293
50.4048755295,-5.06984308367
50.4139622709,-5.07265073639
50.4184759342,-5.08766233446
50.4177934009,-5.0760581082
50.4149545405,-5.07233077946
50.4028122435,-5.0741635551
50.4083965576,-5.07630682411
50.4117234518,-5.07147650422
50.4076889937,-5.0686936625
50.4191538304,-5.06397557066
50.4095712803,-5.08367077184
50.4179282937,-5.06935838435
50.4182306509,-5.06233963051
50.4176938111,-5.06716127109
50.4094791732,-5.07232280819
50.4148415225,-5.07729912277
50.4071455422,-5.06833985392
50.4125199763,-5.07948017586
50.4151302593,-5.06602766711
50.4075887894,-5.06633755588
50.4117884345,-5.07670846281
50.4125391867,-5.07138358174
50.4171110928,-5.07020059345
50.4102726638,-5.07245446874
50.4189297462,-5.08028938873
50.4072847627,-5.07200534184
50.4116745146,-5.06373193452
50.4116554793,-5.07213063076
50.4152438074,-5.06675697343
50.407049171,-5.06705932905
50.4120119441,-5.07020637409
50.4184510617,-5.07376464394
50.4135166853,-5.06485475175
50.4125141794,-5.07457555263
50.4127555679,-5.06818826128
50.4100957656,-5.07462105678
50.4124125476,-5.06550196579
50.4158358889,-5.07153955569
50.4195093201,-5.07610732934
50.4103458346,-5.07157266473
50.4136991312,-5.07338769843
50.4225489627,-5.06294241429
50.4150146378,-5.07252976785
50.4230184292,-5.0710015459
50.4092742825,-5.06650123099
50.4100421427,-5.07483844141
50.4060946645,-5.08055482824
50.4043151418,-5.07506818026
50.4118675907,-5.06533553153
50.4104937457,-5.06194375515
50.4204461804,-5.07064648155
50.4083823512,-5.06551892816
50.4150164292,-5.08057761412
50.4094142146,-5.08079040766
50.4126360526,-5.06801629761
50.4159465852,-5.07124162987
50.4167670291,-5.07388387599
50.420968471,-5.06548314827
50.4101630945,-5.07398462323
50.4162703819,-5.06302073985
50.4060736472,-5.07874839376
50.4143176704,-5.07082806552
50.4140929953,-5.07642149304
50.4133582445,-5.07693032488
50.4029550312,-5.0728077142
50.411745997,-5.07775097882
50.4050798422,-5.06943944685
50.4094380977,-5.07168716004
50.413943537,-5.06912131273
50.4112124453,-5.07350877816
50.4105800392,-5.06840203162
50.4181418236,-5.06805052169
50.4157948785,-5.07014918459
50.4063493813,-5.07426879777
50.419089171,-5.07545462091
50.4111021039,-5.07299089889
50.4154080434,-5.06895320719
50.4056808718,-5.07379159768
50.4193508098,-5.07278860237
50.4115360919,-5.06766535131
50.4201389592,-5.06997944109
50.4135969341,-5.07115762918
50.4110239338,-5.07332425671
50.4198178472,-5.07218343939
50.4107610985,-5.06953599387
50.4134854917,-5.05979407746
50.4098695905,-5.06377039305
50.4085572638,-5.06972237567
50.416694386,-5.0776396728
50.4134554256,-5.0704016344
50.4164470713,-5.07264255601
50.4133260215,-5.07174400511
50.4127615133,-5.07624002425
50.418121505,-5.07294674558
50.4033638496,-5.0646520179
50.4106008738,-5.07677321337
50.4171765701,-5.06996556391
50.4065232723,-5.06351854094
50.4077177793,-5.06741354191
50.4142166303,-5.07046156669
50.3993947807,-5.06555338321
50.415136236,-5.07110552564
50.4172561135,-5.07679597046
50.4148094861,-5.06367698262
50.4070608566,-5.0652383285
50.415406263,-5.06797311139
50.4119328752,-5.07225555648
50.4104377176,-5.07009804249
50.4189915997,-5.06317431881
50.4208212614,-5.06744493999
50.4085824519,-5.07635092724
50.4121095227,-5.0686261536
50.4159880414,-5.06183276517
50.4143459531,-5.06145415271
50.4076700612,-5.07116375577
50.4107973135,-5.07242270003
50.402327773,-5.07306682632
50.4106101615,-5.06879863929
50.4188921021,-5.07543994359
50.4107508816,-5.07588518542
50.4150580489,-5.06987360206
50.4044030596,-5.07377619571
50.4184604683,-5.0660855253
50.4101626101,-5.07228080546
50.4031414798,-5.05421751607
50.4211983619,-5.07117698726
50.4067539511,-5.06891635605
50.4152669295,-5.073065434
50.4167258021,-5.0673649565
50.402788344,-5.0741965767
50.4118991882,-5.07366266461
50.4165314035,-5.07279575413
50.4076822874,-5.07151717762
50.4175799138,-5.06930019822
50.4160210155,-5.06140088189
50.4096853262,-5.07084068935
50.4061565193,-5.06521705387
50.4192042555,-5.0720499185
50.4189913257,-5.07165799808
50.4176135102,-5.06380805153
50.4134854499,-5.06873622686
50.4077216373,-5.07375939927
50.4166773446,-5.06843273204
50.4065792214,-5.06032032651
50.4150301408,-5.07176330779
50.4136435028,-5.07307061568
50.425844678,-5.07510895081
50.4105681311,-5.07671547985
50.4112440776,-5.07569792685
50.4064643642,-5.0652678377
50.4125535299,-5.07250852395
50.4104738021,-5.06587943095
50.4090547264,-5.06820055957
50.4062013775,-5.0754981831
50.4037596781,-5.07641743348
50.4158369565,-5.06882766476
50.4098755418,-5.07510999541
50.4185790051,-5.07663240927
50.4129116287,-5.06887263634
50.4179599015,-5.07047371301
50.4177269737,-5.07761300684
50.4190438229,-5.06989361836
50.4071086918,-5.06613634645
50.4085243737,-5.07033221501
50.4125315002,-5.07355516687
50.4073218821,-5.06744609314
50.4137419179,-5.07266231068
50.4129112773,-5.08489249864
50.4160903326,-5.06537996139
50.4040828963,-5.06944817216
50.407890999,-5.06770620273
50.4137146666,-5.0797288382
50.4030574326,-5.05853400054
50.4114560976,-5.07358845346
50.4166485014,-5.07585739769
50.4171936206,-5.07375261526
50.4130261858,-5.06840280013
50.4024684858,-5.06348398123
